"numero","imagenJugador","nombreJugador","posicionJugador","nacionalidadesDelJugador"
"30","https://img.a.transfermarkt.technology/portrait/medium/260662-1684948157.jpeg?lm=1","Óscar Whalley","Portero","[""España"",""México""]"
"3","https://img.a.transfermarkt.technology/portrait/medium/596929-1558514353.png?lm=1","Gilberto Sepúlveda","Defensa central","[""México""]"
"4","https://img.a.transfermarkt.technology/portrait/medium/401340-1710095280.jpg?lm=1","Miguel Tapias","Defensa central","[""México""]"
"18","https://img.a.transfermarkt.technology/portrait/medium/371178-1650586083.jpg?lm=1","Luis Olivas","Defensa central","[""México""]"
"33","https://img.a.transfermarkt.technology/portrait/medium/694156-1672517218.jpg?lm=1","Raúl Martínez","Defensa central","[""México""]"
"65","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Luis Gabriel Rey","Defensa central","[""México""]"
"50","https://img.a.transfermarkt.technology/portrait/medium/1066953-1701898475.jpg?lm=1","Mateo Chávez","Lateral izquierdo","[""México""]"
"27","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Leonardo Sepúlveda","Lateral izquierdo","[""México"",""Estados Unidos""]"
"2","https://img.a.transfermarkt.technology/portrait/medium/397003-1589878901.jpg?lm=1","Alan Mozo","Lateral derecho","[""México""]"
"54","https://img.a.transfermarkt.technology/portrait/medium/832308-1736707263.jpg?lm=1","Miguel Gómez","Lateral derecho","[""México""]"
"7","https://img.a.transfermarkt.technology/portrait/medium/282927-1704269657.jpg?lm=1","Omar Govea","Pivote","[""México""]"
"28","https://img.a.transfermarkt.technology/portrait/medium/274963-1565164823.png?lm=1","Fernando González","Pivote","[""México""]"
"17","https://img.a.transfermarkt.technology/portrait/medium/532938-1580830010.jpg?lm=1","Luis Romo","Mediocentro","[""México""]"
"20","https://img.a.transfermarkt.technology/portrait/medium/549294-1564488371.png?lm=1","Fernando Beltrán","Mediocentro","[""México""]"
"15","https://img.a.transfermarkt.technology/portrait/medium/298796-1613229788.jpg?lm=1","Érick Gutiérrez","Mediocentro","[""México""]"
"23","https://img.a.transfermarkt.technology/portrait/medium/636066-1709930958.jpg?lm=1","Daniel Aguirre","Mediocentro","[""Estados Unidos"",""México""]"
